AppID,Name,Number of languages,Languages
686440,Hard Time,1.0,['English']
108200,Ticket to Ride,5.0,"['English', 'French', 'German', 'Italian', 'Spanish-Spain']"
878520,Sally's Salon: Kiss & Make-Up,15.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Russian', 'SimplifiedChinese', 'Swedish', 'Thai', 'TraditionalChinese', 'Portuguese-Brazil']"
340630,Ninja Guy,1.0,['English']
619150,while True: learn(),18.0,"['English', 'Russian', 'German', 'Hungarian', 'Korean', 'Greek', 'Portuguese-Brazil', 'SimplifiedChinese', 'Polish', 'French', 'Italian', 'Spanish-Spain', 'Czech', 'Japanese', 'Spanish-LatinAmerica', 'TraditionalChinese', 'Turkish', 'Vietnamese']"
392030,Murasaki,2.0,"['English', 'Japanese']"
441670,Jelly Killer,2.0,"['English', 'Russian']"
50990,Mystery Case Files: RavenhearstÂ®,3.0,"['English', 'French', 'German']"
1204930,Hop Step Sing! Astral Piece,4.0,"['English', 'Japanese', 'SimplifiedChinese', 'TraditionalChinese']"
302610,Boson X,1.0,['English']
201010,Geneforge 5: Overthrow,1.0,['English']
837610,Mary Skelter: Nightmares,1.0,['English']
205690,1000 Amps,1.0,['English']
109500,Fowl Space,1.0,['English']
539290,Brick Breaker,6.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Dutch']"
448670,Pinball HD Collection,1.0,['English']
542740,Balloon Blowout,1.0,['English']
687980,Mothlight,1.0,['English']
1259000,Damascus,1.0,['English']
1495860,What The Dub?!,1.0,['English']
239430,Q.U.B.E: Director's Cut,1.0,['English']
961490,Travis Strikes Again: No More Heroes Complete Edition,11.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Korean', 'Russian', 'SimplifiedChinese', 'TraditionalChinese', 'Portuguese-Brazil']"
286750,Zoo Empire,1.0,['English']
482300,Investigator,2.0,"['English', 'Russian']"
237430,Expeditions: Conquistador,5.0,"['English', 'Spanish-Spain', 'Italian', 'German', 'Russian']"
485120,Frog Climbers,1.0,['English']
1299400,Understand,29.0,"['English', 'SimplifiedChinese', 'French', 'Italian', 'German', 'Spanish-Spain', 'Danish', 'Ukrainian', 'Russian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Japanese', 'Polish', 'Thai', 'Swedish', 'TraditionalChinese', 'Romanian', 'Finnish', 'Dutch', 'Portuguese', 'Portuguese-Brazil', 'Spanish-LatinAmerica', 'Vietnamese', 'Arabic', 'Korean']"
342260,Nevermind,11.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Korean', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'TraditionalChinese']"
293520,Carnivores: Dinosaur Hunter Reborn,1.0,['English']
502940,"Calm Down, Stalin",2.0,"['English', 'Russian']"
1395560,Kandidatos,1.0,['Portuguese-Brazil']
291690,Empathy: Path of Whispers,6.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Russian']"
267360,MURI,1.0,['English']
499910,SHINRAI - Broken Beyond Despair,1.0,['English']
1644840,Kittens and Yarn,3.0,"['English', 'Portuguese-Brazil', 'SimplifiedChinese']"
12460,BC Kings,1.0,['English']
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,2.0,"['English', 'Japanese']"
336670,HIT,1.0,['English']
542260,The Herbalist,5.0,"['English', 'Russian', 'Spanish-Spain', 'Japanese', 'SimplifiedChinese']"
369560,The Story Goes On,9.0,"['English', 'Italian', 'Spanish-Spain', 'Russian', 'French', 'Portuguese-Brazil', 'German', 'Dutch', 'Swedish']"
394850,Square Brawl,1.0,['English']
953900,Pantsu Hunter: Back to the 90s,5.0,"['English', 'French', 'German', 'Spanish-Spain', 'Russian']"
299480,Rogue Stormers,14.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Portuguese', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'TraditionalChinese', 'Turkish', 'Dutch', 'Polish']"
1503530,Minit Fun Racer,1.0,['English']
523210,A Normal Lost Phone,6.0,"['English', 'French', 'Spanish-Spain', 'Italian', 'German', 'Portuguese-Brazil']"
1278170,Big Rumble Boxing: Creed Champions,1.0,['English']
950400,Blame Him,8.0,"['English', 'French', 'German', 'Spanish-Spain', 'Japanese', 'Korean', 'Russian', 'SimplifiedChinese']"
766570,Russian Fishing 4,13.0,"['English', 'German', 'Russian', 'SimplifiedChinese', 'French', 'Spanish-Spain', 'Polish', 'Portuguese-Brazil', 'Dutch', 'Korean', 'Japanese', 'TraditionalChinese', 'Turkish']"
1048100,Peekaboo,11.0,"['English', 'Russian', 'German', 'SimplifiedChinese', 'French', 'Italian', 'Spanish-Spain', 'TraditionalChinese', 'Japanese', 'Portuguese', 'Korean']"
345700,Echo Tokyo: An Intro,1.0,['English']
65600,Gothic 3: Forsaken Gods Enhanced Edition,7.0,"['English', 'French', 'German', 'Italian', 'Spanish-Spain', 'Polish', 'Russian']"
439250,Space Pilgrim Episode III: Delta Pavonis,1.0,['English']
