AppID,Name,Price,English,French,Italian,German,Spanish-Spain,Russian,Japanese,SimplifiedChinese,TraditionalChinese,Korean,Polish,Portuguese,Turkish,Czech,Portuguese-Brazil,Hungarian,Dutch,Ukrainian,Danish,Arabic,Spanish-LatinAmerica,Thai,Finnish,Norwegian,Romanian,Swedish,Greek,Vietnamese,Bulgarian,Slovakian,Portuguese-Portugal,Indonesian,Hindi,Catalan,None
550590,Archaica: The Path of Light,14.99,14.99,14.99,,,14.99,14.99,,14.99,,,14.99,,,14.99,,,,14.99,,,,,,,,,,,,,,,,,
33230,Assassin's Creed 2,19.99,19.99,19.99,19.99,19.99,19.99,,,19.99,19.99,19.99,,,,,,,19.99,,19.99,,,,,,,19.99,,,,,,,,,
257510,The Talos Principle,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,,,29.99,29.99,,,,,,,,,,,,,,,,,,,,
418120,Cally's Caves 3,6.99,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886470,Another Otter,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704010,LongStory,14.99,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415590,Earthfall,19.99,19.99,19.99,,19.99,19.99,19.99,19.99,19.99,,19.99,,19.99,,,19.99,,,,,,,,,,,,,,,,,,,,
1781030,Fishing Paradiso,14.99,14.99,14.99,14.99,,,14.99,14.99,14.99,14.99,14.99,,,14.99,,14.99,,,,,,14.99,,,,,,,14.99,,,,,,,
1119060,The Designer's Curse,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350150,Scraps: Modular Vehicle Combat,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289360,Konung 2,0.59,0.59,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,
1056750,Shera and the Three Treasures,14.99,14.99,,,,,,,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
658560,Zup! 7,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,0.99,0.99,0.99,0.99,0.99,0.99,,0.99,,,,,,
661920,Claybook,9.99,9.99,9.99,9.99,9.99,9.99,,,,,,,9.99,,,9.99,,,,,,,,,,,,,,,,,,,,
476490,Choice of the Pirate,3.99,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
